year,population [number],gdp [$ million],energy_consumption [pj],energy_consumption_per_capita [gj/person],energy_intensity [gj/$ million],energy_productivity [$ million/pj],state
1960,10548267,308362,1336.6,126.713,4334.516,230.706,Australia
1961,10742291,312353,1365.8,127.142,4372.617,228.696,Australia
1962,10950379,331770,1432.2,130.79,4316.846,231.651,Australia
1963,11166702,354929,1531.4,137.14,4314.666,231.768,Australia
1964,11387665,376155,1625.3,142.725,4320.825,231.437,Australia
1965,11599498,385103,1713.1,147.687,4448.42,224.799,Australia
1966,11799078,409384,1805.8,153.046,4411.018,226.705,Australia
1967,12008635,430237,1898.9,158.128,4413.614,226.572,Australia
1968,12263014,460548,2025.9,165.204,4398.89,227.33,Australia
1969,12507349,493596,2137.6,170.908,4330.667,230.911,Australia
1970,13067265,513343,2210.3,169.148,4305.698,232.25,Australia
1971,13303664,533416,2331.2,175.23,4370.323,228.816,Australia
1972,13504538,547388,2447.8,181.258,4471.782,223.625,Australia
1973,13722571,569871,2615.2,190.577,4589.109,217.907,Australia
1974,13892995,577487,2694.8,193.968,4666.425,214.297,Australia
1975,14033083,592437,2730.8,194.597,4609.435,216.946,Australia
1976,14192234,613736,2905.9,204.753,4734.772,211.203,Australia
1977,14359255,619219,2985.1,207.887,4820.75,207.437,Australia
1978,14515729,644300,3053.1,210.33,4738.631,211.031,Australia
1979,14695356,663859,3131.4,213.088,4716.966,212.001,Australia
1980,14923260,686031,3146.3,210.832,4586.236,218.044,Australia
1981,15184247,708843,3237.6,213.221,4567.443,218.941,Australia
1982,15393472,693075,3122.7,202.859,4505.573,221.947,Australia
1983,15579391,724899,3221.2,206.76,4443.654,225.04,Australia
1984,15788312,763163,3370.7,213.493,4416.75,226.411,Australia
1985,16018350,793428,3402.5,212.413,4288.354,233.19,Australia
1986,16263874,813760,3514.4,216.086,4318.718,231.55,Australia
1987,16532164,860583,3623,219.149,4209.937,237.533,Australia
1988,16814416,893962,3832.7,227.941,4287.319,233.246,Australia
1989,17065128,925958,3945.9,231.226,4261.424,234.663,Australia
1990,17284036,922422,3949.9,228.529,4282.096,233.53,Australia
1991,17478635,926367,3982.7,227.861,4299.268,232.598,Australia
1992,17634808,963840,4081.8,231.463,4234.935,236.131,Australia
1993,17805468,1002198,4181.9,234.866,4172.728,239.651,Australia
1994,18004882,1041115,4365.4,242.457,4193.005,238.493,Australia
1995,18224767,1081343,4505.5,247.219,4166.578,240.005,Australia
1996,18423037,1123658,4611.1,250.29,4103.651,243.685,Australia
1997,18607584,1176057,4777.6,256.756,4062.388,246.161,Australia
1998,18812264,1235185,4884.7,259.655,3954.63,252.868,Australia
1999,19028802,1283623,4971,261.236,3872.632,258.222,Australia
2000,19274701,1309618,5011.8,260.02,3826.917,261.307,Australia
2001,19495210,1361736,5097,261.449,3743.016,267.164,Australia
2002,19720737,1403823,5138.674,260.572,3660.486,273.188,Australia
2003,19932722,1463125,5284.727,265.128,3611.945,276.859,Australia
2004,20176844,1509274,5399.2,267.594,3577.349,279.537,Australia
2005,20450966,1550859,5546.742,271.222,3576.561,279.598,Australia
2006,20827622,1609379,5723.991,274.827,3556.645,281.164,Australia
2007,21249199,1667095,5738.33,270.049,3442.113,290.519,Australia
2008,21691653,1698646,5844.233,269.423,3440.524,290.653,Australia
2009,22031750,1736467,5823.803,264.337,3353.823,298.167,Australia
2010,22340024,1778298,5902.889,264.229,3319.404,301.259,Australia
2011,22733465,1847979,5888.427,259.02,3186.414,313.832,Australia
2012,23128129,1896141,5916.732,255.824,3120.407,320.471,Australia
2013,23475686,1945581,5870.951,250.086,3017.582,331.391,Australia
2014,23815995,1988419,5898.418,247.666,2966.386,337.111,Australia
2015,24190907,2043680,6034.872,249.469,2952.944,338.645,Australia
2016,24592588,2091067,6104.651,248.231,2919.395,342.537,Australia
2017,24963258,2151841,6168.093,247.087,2866.426,348.866,Australia
2018,25334826,2198775,6188.282,244.26,2814.423,355.313,Australia
2019,25649248,2191416,6001.048,233.966,2738.434,365.172,Australia
2020,25685412,2237695,5769.218,224.611,2578.197,387.868,Australia
2021,26014399,2333221,5765.137,221.613,2470.892,404.712,Australia
2022,26658948,2403614,5882.206,220.647,2447.234,408.625,Australia
1960,3977329,,568.2,142.86,,,New South Wales
1961,4053121,,579.4,142.952,,,New South Wales
1962,4123398,,594.9,144.274,,,New South Wales
1963,4188248,,638.6,152.474,,,New South Wales
1964,4263903,,678.2,159.056,,,New South Wales
1965,4333933,,702.2,162.024,,,New South Wales
1966,4398717,,739.6,168.14,,,New South Wales
1967,4471420,,779.6,174.352,,,New South Wales
1968,4562850,,810.3,177.586,,,New South Wales
1969,4653798,,833.1,179.015,,,New South Wales
1970,4876672,,853.3,174.976,,,New South Wales
1971,4954898,,883.5,178.308,,,New South Wales
1972,5015204,,927.1,184.858,,,New South Wales
1973,5080294,,943,185.619,,,New South Wales
1974,5131023,,964.7,188.013,,,New South Wales
1975,5167328,,934,180.751,,,New South Wales
1976,5215576,,980.2,187.937,,,New South Wales
1977,5271771,,1011.3,191.833,,,New South Wales
1978,5331927,,1019.3,191.169,,,New South Wales
1979,5395818,,1059,196.263,,,New South Wales
1980,5462470,,1060.4,194.125,,,New South Wales
1981,5536625,,1077.8,194.667,,,New South Wales
1982,5591942,,1002.5,179.276,,,New South Wales
1983,5647841,,1045.6,185.133,,,New South Wales
1984,5715901,,1080.3,188.999,,,New South Wales
1985,5790436,,1108.7,191.471,,,New South Wales
1986,5882213,,1137.1,193.312,,,New South Wales
1987,5979438,,1143.3,191.205,,,New South Wales
1988,6052715,,1194.2,197.3,,,New South Wales
1989,6116232,351312,1230.4,201.17,3502.3,285.527,New South Wales
1990,6188051,353238,1228.6,198.544,3478.108,287.513,New South Wales
1991,6252709,353952,1219.4,195.019,3445.1,290.267,New South Wales
1992,6294808,364053,1249.1,198.433,3431.094,291.452,New South Wales
1993,6347013,377622,1276.7,201.15,3380.894,295.78,New South Wales
1994,6411398,391501,1314.6,205.041,3357.846,297.81,New South Wales
1995,6486090,405914,1351.2,208.323,3328.784,300.41,New South Wales
1996,6556800,419369,1380.6,210.56,3292.089,303.759,New South Wales
1997,6617331,434957,1382,208.845,3177.326,314.73,New South Wales
1998,6689274,456144,1413.8,211.353,3099.46,322.637,New South Wales
1999,6763793,475773,1426.3,210.873,2997.858,333.572,New South Wales
2000,6851887,484763,1450.5,211.694,2992.184,334.204,New South Wales
2001,6905434,494144,1445.7,209.357,2925.665,341.803,New South Wales
2002,6948072,504985,1510.475,217.395,2991.129,334.322,New South Wales
2003,6979675,518981,1574.793,225.625,3034.394,329.555,New South Wales
2004,7024605,526405,1544.916,219.929,2934.843,340.734,New South Wales
2005,7077860,533185,1545.985,218.425,2899.528,344.884,New South Wales
2006,7176800,543661,1568.894,218.606,2885.795,346.525,New South Wales
2007,7291829,555633,1610.708,220.892,2898.87,344.962,New South Wales
2008,7408540,564017,1593.538,215.095,2825.337,353.94,New South Wales
2009,7506058,573831,1645.288,219.195,2867.2,348.772,New South Wales
2010,7586514,585622,1668.025,219.867,2848.296,351.087,New South Wales
2011,7680783,600424,1621.305,211.086,2700.266,370.334,New South Wales
2012,7787289,614045,1568.427,201.409,2554.254,391.504,New South Wales
2013,7897152,627736,1526.538,193.302,2431.816,411.215,New South Wales
2014,8011981,645047,1478.836,184.578,2292.602,436.186,New South Wales
2015,8135962,669361,1524.256,187.348,2277.181,439.139,New South Wales
2016,8270362,687118,1533.049,185.367,2231.13,448.203,New South Wales
2017,8380557,703334,1564.673,186.703,2224.651,449.509,New South Wales
2018,8482478,722386,1555.625,183.393,2153.454,464.37,New South Wales
2019,8555513,717075,1477.818,172.733,2060.898,485.225,New South Wales
2020,8549570,734160,1401.642,163.943,1909.177,523.786,New South Wales
2021,8623619,753489,1374.387,159.375,1824.031,548.236,New South Wales
2022,8811429,781854,1439.191,163.332,1840.741,543.26,New South Wales
1960,2930366,,378.1,129.028,,,Victoria
1961,2983058,,389.2,130.47,,,Victoria
1962,3040841,,410.4,134.963,,,Victoria
1963,3105519,,438.2,141.104,,,Victoria
1964,3164369,,460.7,145.59,,,Victoria
1965,3220217,,485.3,150.704,,,Victoria
1966,3274340,,503.6,153.802,,,Victoria
1967,3324180,,521.4,156.851,,,Victoria
1968,3385043,,543.3,160.5,,,Victoria
1969,3444936,,581.3,168.74,,,Victoria
1970,3601352,,599.3,166.41,,,Victoria
1971,3661254,,636.2,173.766,,,Victoria
1972,3707653,,656,176.931,,,Victoria
1973,3755726,,710.9,189.284,,,Victoria
1974,3787441,,731,193.006,,,Victoria
1975,3810426,,752.8,197.563,,,Victoria
1976,3837364,,802.1,209.024,,,Victoria
1977,3863759,,823.1,213.031,,,Victoria
1978,3886406,,857.3,220.589,,,Victoria
1979,3914303,,869.4,222.108,,,Victoria
1980,3946917,,880.8,223.161,,,Victoria
1981,3992870,,939.4,235.269,,,Victoria
1982,4035702,,896.5,222.142,,,Victoria
1983,4076492,,904.9,221.98,,,Victoria
1984,4120068,,936.2,227.229,,,Victoria
1985,4160856,,926.4,222.647,,,Victoria
1986,4210111,,979.5,232.654,,,Victoria
1987,4262569,,1014.5,238.002,,,Victoria
1988,4320164,,1090.2,252.351,,,Victoria
1989,4378592,216165,1099.8,251.177,5087.78,196.549,Victoria
1990,4420373,210558,1090.9,246.789,5180.995,193.013,Victoria
1991,4450217,207543,1108.7,249.134,5342.026,187.195,Victoria
1992,4462766,217875,1104.7,247.537,5070.338,197.226,Victoria
1993,4472989,225250,1102.5,246.48,4894.562,204.308,Victoria
1994,4497660,232307,1152.2,256.178,4959.816,201.62,Victoria
1995,4534984,240327,1184.9,261.28,4930.366,202.825,Victoria
1996,4569297,250923,1202.7,263.213,4793.104,208.633,Victoria
1997,4606970,265717,1286.3,279.207,4840.865,206.575,Victoria
1998,4652462,282577,1318.3,283.355,4665.277,214.35,Victoria
1999,4704065,292216,1346.3,286.199,4607.208,217.051,Victoria
2000,4763615,297726,1337.2,280.711,4491.378,222.649,Victoria
2001,4817774,309125,1371.9,284.758,4438.011,225.326,Victoria
2002,4873809,317744,1330.624,273.015,4187.723,238.793,Victoria
2003,4927149,329621,1364.902,277.017,4140.822,241.498,Victoria
2004,4989246,343515,1356.513,271.887,3948.918,253.234,Victoria
2005,5061266,351392,1429.476,282.434,4068.037,245.819,Victoria
2006,5153522,361288,1433.859,278.229,3968.742,251.969,Victoria
2007,5256375,374193,1426.079,271.305,3811.078,262.393,Victoria
2008,5371934,381400,1421.679,264.649,3727.528,268.274,Victoria
2009,5461101,385336,1426.739,261.255,3702.583,270.082,Victoria
2010,5537817,396253,1448.557,261.575,3655.637,273.55,Victoria
2011,5651091,405822,1457.312,257.882,3591.013,278.473,Victoria
2012,5772669,409802,1425.302,246.905,3478.026,287.519,Victoria
2013,5894917,418902,1394.779,236.607,3329.606,300.336,Victoria
2014,6022322,430757,1392.271,231.185,3232.149,309.392,Victoria
2015,6173172,445714,1414.792,229.184,3174.215,315.038,Victoria
2016,6302608,462737,1384.789,219.717,2992.606,334.157,Victoria
2017,6423038,478591,1309.98,203.95,2737.16,365.342,Victoria
2018,6537305,493087,1276.267,195.228,2588.32,386.351,Victoria
2019,6615046,491651,1207.708,182.57,2456.434,407.094,Victoria
2020,6547822,490667,1128.83,172.398,2300.604,434.668,Victoria
2021,6630631,521709,1148.131,173.156,2200.712,454.398,Victoria
2022,6818442,535489,1172.601,171.975,2189.777,456.668,Victoria
1960,1527514,,159.4,104.353,,,Queensland
1961,1550982,,162.7,104.901,,,Queensland
1962,1577867,,177.2,112.304,,,Queensland
1963,1610698,,185.5,115.168,,,Queensland
1964,1644534,,197.9,120.338,,,Queensland
1965,1674324,,218.4,130.441,,,Queensland
1966,1699982,,237.8,139.884,,,Queensland
1967,1728996,,249,144.014,,,Queensland
1968,1763087,,268.8,152.46,,,Queensland
1969,1792743,,285.3,159.142,,,Queensland
1970,1851485,,292.8,158.143,,,Queensland
1971,1898478,,320.2,168.661,,,Queensland
1972,1951951,,337.9,173.109,,,Queensland
1973,2008340,,371.3,184.879,,,Queensland
1974,2051362,,392.6,191.385,,,Queensland
1975,2092375,,410,195.95,,,Queensland
1976,2129839,,441.8,207.434,,,Queensland
1977,2172047,,461.2,212.334,,,Queensland
1978,2214771,,463.2,209.141,,,Queensland
1979,2265935,,480.2,211.921,,,Queensland
1980,2345208,,502.9,214.437,,,Queensland
1981,2424586,,537.2,221.564,,,Queensland
1982,2482282,,541.5,218.146,,,Queensland
1983,2523859,,571.6,226.479,,,Queensland
1984,2571218,,600.3,233.469,,,Queensland
1985,2624595,,604.8,230.436,,,Queensland
1986,2675107,,620,231.766,,,Queensland
1987,2739907,,642.4,234.46,,,Queensland
1988,2827637,,678.3,239.882,,,Queensland
1989,2899283,141394,691.8,238.611,4892.711,204.386,Queensland
1990,2960951,141579,702,237.086,4958.362,201.679,Queensland
1991,3023198,146454,715,236.505,4882.079,204.831,Queensland
1992,3096185,155635,758.5,244.979,4873.582,205.188,Queensland
1993,3166566,163389,793.2,250.492,4854.672,205.987,Queensland
1994,3237380,172822,847.3,261.724,4902.732,203.968,Queensland
1995,3303192,178624,882.7,267.226,4941.665,202.361,Queensland
1996,3355417,188157,914.1,272.425,4858.177,205.839,Queensland
1997,3404484,195747,968.5,284.478,4947.713,202.114,Queensland
1998,3453936,207327,983.8,284.834,4745.161,210.741,Queensland
1999,3509458,216949,1009.7,287.708,4654.089,214.865,Queensland
2000,3571469,223422,1020,285.597,4565.352,219.041,Queensland
2001,3653123,237637,1057.8,289.56,4451.327,224.652,Queensland
2002,3743121,248524,1064.037,284.265,4281.425,233.567,Queensland
2003,3829970,265133,1081.105,282.275,4077.596,245.243,Queensland
2004,3918494,279279,1225.086,312.642,4386.604,227.967,Queensland
2005,4007992,293682,1279.525,319.243,4356.837,229.524,Queensland
2006,4111018,313527,1328.997,323.277,4238.859,235.913,Queensland
2007,4219505,328402,1289.546,305.616,3926.73,254.665,Queensland
2008,4328771,332831,1345.729,310.88,4043.281,247.324,Queensland
2009,4404744,339914,1294.384,293.861,3807.975,262.607,Queensland
2010,4476778,342795,1249.598,279.129,3645.321,274.324,Queensland
2011,4568687,362790,1314.818,287.789,3624.184,275.924,Queensland
2012,4652824,373159,1334.792,286.878,3577.007,279.563,Queensland
2013,4719653,380604,1338.862,283.678,3517.729,284.274,Queensland
2014,4777692,383818,1436.133,300.592,3741.704,267.258,Queensland
2015,4845152,392991,1464.555,302.272,3726.689,268.335,Queensland
2016,4926380,403260,1531.887,310.956,3798.758,263.244,Queensland
2017,5006623,419368,1548.429,309.276,3692.291,270.834,Queensland
2018,5088847,423285,1529.509,300.561,3613.425,276.746,Queensland
2019,5165613,418498,1486.306,287.731,3551.524,281.569,Queensland
